cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,unique_cell_id,CalcCytoArea,normGRcyt,normGRnuc
2366,7962.0,2272.8535340282056,983.3841917654812,120,100,C,13488,14083.805388103394,0,3
2367,7610.0,2354.030351239328,948.928695982842,120,100,C,13489,13300.191757481887,0,3
2368,8063.0,2300.9727774335524,965.5092843532764,120,100,C,13490,14313.678780309692,0,3
2371,8196.0,3470.408986407894,1107.4091366842397,75,100,C,13493,14619.80464293039,1,9
2373,7624.0,2910.019678439374,1082.5688948540396,75,100,C,13494,13330.838011548924,1,6
2375,7612.0,3060.66957959528,1061.4107895222696,75,100,C,13496,13304.567155414621,1,7
2379,8488.0,3013.336463284999,1118.514266233608,75,100,C,13499,15305.543054823078,1,7
2392,8250.0,3477.3424185824924,1123.867841305523,75,100,C,13510,14745.206437596771,1,9
2393,7729.0,3311.340317013152,1079.0778598809063,75,100,C,13511,13562.058514558048,1,8
2394,7888.0,4924.250884380442,1273.3992150286806,75,100,C,13512,13916.806915227291,3,17
2395,7589.0,4057.4650294008648,1173.2641051725564,75,100,C,13513,13254.303176234647,2,12
2398,8813.0,3333.7224841134084,1132.9921200881977,75,100,C,13516,16090.823369760918,1,8
2400,8262.0,3519.6148499690576,1119.9787204579968,75,100,C,13518,14773.160569042577,1,9
2403,7868.0,3218.9381777838985,1107.9881200069883,75,100,C,13520,13871.878864561993,1,8
2404,9438.0,3521.698700287871,1116.7085592534931,75,100,C,13521,17666.249811912236,1,9
2406,8165.0,4271.114296364638,1150.7472616580092,75,100,C,13522,14548.104393992488,2,13
2408,8031.0,3600.4004047688622,1127.00211354139,75,100,C,13523,14240.604877186097,1,10
2413,7874.0,3957.1198701766302,1108.4602802744437,75,100,C,13525,13885.348045492632,1,12
2414,9282.0,4604.637112628978,1175.6293828612218,75,100,C,13526,17264.9803236956,2,15
2419,9555.0,3873.196501933911,1145.7882911646077,75,100,C,13530,17970.713258843054,2,11
2423,8622.0,3337.212425813317,1126.639781276117,75,100,C,13533,15626.506575486032,1,8
2455,8353.0,3623.72049491662,1103.94708732676,75,100,C,13554,14986.176456350307,1,10
2457,8827.0,4299.233937846405,1155.2352635474117,75,100,C,13555,16125.172565677007,2,13
2466,8302.0,4412.997251659072,1228.4058920889306,75,100,C,13559,14866.569665283556,2,14
2467,8936.0,4271.974551240601,1166.0600798228002,75,100,C,13560,16394.079446307223,2,13
2470,8835.0,2816.370965578758,1080.460903896463,75,100,C,13562,16144.820025621144,1,5
2480,9381.0,3768.803294923857,1132.5731960959044,75,100,C,13570,17519.011769298355,1,11
2481,7819.0,3145.7035088954017,1176.797814661035,75,100,C,13571,13762.176819757262,2,7
2484,8359.0,3688.286102308125,1183.6953424689186,75,100,C,13573,15000.28544020107,2,10
2486,8645.0,3452.55114020096,1094.6190033443847,75,100,C,13574,15681.994292665746,1,9
2489,7564.0,3527.471776083443,1100.251058982077,75,100,C,13577,13199.800334384276,1,9
2491,8373.0,4642.323245608831,1220.9555326803486,75,100,C,13578,15033.237183416022,2,15
2492,7867.0,3776.0434184557225,1096.3002585192007,75,100,C,13579,13869.634770595967,1,11
2497,8620.0,3473.3704578254883,1117.3465539696329,75,100,C,13583,15621.6870531895,1,9
2498,8140.0,4396.710363890247,1246.5471765675325,75,100,C,13584,14490.435517073458,3,14
2499,8912.0,4713.308178497842,1256.0332151750852,75,100,C,13585,16334.64633103917,3,16
2502,9366.0,3271.706436584272,1106.6182839224866,75,100,C,13587,17480.383642293982,1,8
2504,7863.0,3390.7369435241853,1151.57485114779,75,100,C,13589,13860.660593367322,2,9
2505,9004.0,3346.243760039063,1145.740106136868,75,100,C,13590,16563.161006073286,2,8
2506,9312.0,3018.939093122235,1110.37476808335,75,100,C,13591,17341.731990865268,1,7
2508,9291.0,3530.11603268954,1145.0888584759357,75,100,C,13592,17287.98504674136,2,9
2509,8467.0,3766.699620965365,1110.9630645070572,75,100,C,13593,15255.600629506676,1,11
2510,9123.0,3335.0956478176245,1097.502899040615,75,100,C,13594,16861.500047413305,1,8
2518,7701.0,3805.669996622484,1213.0692150045256,75,100,C,13599,13500.162700852557,2,11
2523,8180.0,3942.6717805233534,1265.456025451016,75,100,C,13602,14582.771679207835,3,11
2524,8401.0,3870.464742898599,1156.808934341352,75,100,C,13603,15099.269949611227,2,11
2527,8489.0,4404.264346661425,1256.111650461204,75,100,C,13606,15307.92368405144,3,14
2528,7660.0,3636.702179348744,1105.263590353728,75,100,C,13607,13409.840542055952,1,10
2530,8123.0,3328.594354917521,1152.7674603658986,75,100,C,13608,14451.29917205459,2,8
