cell_id,nuc_area,nucGRint,cytoGRint,time,Dex_conc,replica,CalcCytoArea,normGRnuc,normGRcyt
2165,9272,3790.385423,2782.200546,60,1,A,16901.83331,8,17
2166,9477,4568.667803,2838.719852,60,1,A,17431.94029,12,18
2167,8695,4325.098187,2954.438097,60,1,A,15473.61067,11,19
2168,8658,4582.400099,3264.321483,60,1,A,15385.24018,12,20
2169,8567,3276.265976,2647.34136,60,1,A,15169.54443,5,16
2170,9245,3668.364235,2817.104175,60,1,A,16832.90053,7,18
2171,8808,3682.533571,3112.462755,60,1,A,15745.89688,7,20
2172,9155,4616.64087,2996.587252,60,1,A,16604.6143,13,19
2173,7796,4214.320343,3520.632862,60,1,A,13436.07941,10,20
2174,8971,3874.569372,2664.479686,60,1,A,16145.02829,8,16
2175,7996,2593.790191,2868.886273,10,1,A,13869.58988,1,18
2176,7565,2494.688192,2313.603572,10,1,A,12949.46001,0,12
2177,7568,2412.476405,2580.24093,10,1,A,12955.68297,0,15
2178,8810,2535.310041,2800.317294,10,1,A,15750.74864,1,17
2179,7614,2847.810125,2851.181864,10,1,A,13051.42065,2,18
2180,9310,3497.954112,3012.397737,10,1,A,16999.19926,6,20
2181,9379,2875.999737,2577.527015,10,1,A,17177.03981,3,15
2182,8770,3029.099366,2971.643226,10,1,A,15653.92841,4,19
2183,8226,2708.211108,2541.934398,10,1,A,14382.11858,2,15
2184,9484,2719.247273,2535.810215,10,1,A,17450.25145,2,15
2185,9503,2642.884925,2450.500874,10,1,A,17500.02305,1,14
2186,7922,3234.329991,2517.371806,10,1,A,13707.87191,5,15
2187,8778,2916.651869,2427.16247,10,1,A,15673.25623,3,14
2188,8801,2612.129336,2506.526139,10,1,A,15728.92462,1,14
2189,8206,3552.950662,2715.393228,10,1,A,14336.95669,7,17
2190,9451,2430.972348,2265.785635,10,1,A,17364.04879,0,12
2191,8833,2337.004264,2306.388115,10,1,A,15806.62527,0,12
2192,8670,2735.839725,2636.026975,10,1,A,15413.85844,2,16
2193,7454,2759.695863,2408.053253,10,1,A,12721.0005,2,13
2194,9264,3119.434089,2606.123027,10,1,A,16881.38728,4,15
2195,7728,2179.297383,2225.777478,10,1,A,13291.26406,0,12
2196,8825,3218.003081,2995.000571,10,1,A,15787.17294,5,19
2197,8057,2152.6374,1915.403181,10,1,A,14004.06296,0,8
2198,9063,3014.42387,2811.770119,10,1,A,16373.62387,3,18
2199,9053,2330.408595,2403.88153,10,1,A,16348.66052,0,13
2200,7876,2669.011058,2741.114898,10,1,A,13608.12546,1,17
2201,9088,2974.008703,2751.342471,10,1,A,16436.15604,3,17
2202,8684,2627.223367,2715.263636,10,1,A,15447.2979,1,17
2203,7385,2760.184158,2809.519667,10,1,A,12580.74222,2,18
2204,7565,2874.059616,2867.365167,10,1,A,12949.46001,3,18
2205,8386,3254.465993,2767.692076,10,1,A,14747.4882,5,17
2206,7648,2256.294949,2648.362998,10,1,A,13122.56809,0,16
2207,7593,3129.045628,2739.462654,10,1,A,13007.64005,4,17
2208,8086,2481.127649,2429.816159,10,1,A,14068.36203,0,14
2209,8767,2853.535039,2452.62802,10,1,A,15646.68514,2,14
2210,7477,2621.543291,2621.114391,10,1,A,12768.05261,1,16
2211,9405,2932.999757,2505.395809,10,1,A,17244.40163,3,14
2212,7287,2767.594803,2614.078316,10,1,A,12383.85016,2,16
2213,8763,2714.226716,2922.988333,10,1,A,15637.03141,2,19
2214,9126,2808.177508,2400.112406,10,1,A,16531.54363,2,13
2215,7745,1960.151056,2132.572585,10,1,A,13327.34524,0,11
2216,8401,2578.428902,2483.959886,10,1,A,14782.11297,1,14
2217,8870,2921.942305,2725.143784,10,1,A,15896.82783,3,17
2218,8841,3362.471326,3108.981077,10,1,A,15826.0957,5,20
2219,9157,3274.584954,3111.582821,10,1,A,16609.66243,5,20
2220,8137,2114.659239,2178.627913,10,1,A,14182.01692,0,11
2221,7522,3350.789717,3067.979455,10,1,A,12860.54401,5,20
2222,8508,2645.78364,2662.373031,10,1,A,15030.94977,1,16
2223,9076,2260.718954,2376.489795,10,1,A,16406.11853,0,13
2224,8907,2792.735013,2474.318366,10,1,A,15987.41774,2,14
2225,9066,2522.714182,2314.069041,10,1,A,16381.11839,1,12
2226,9201,2948.464854,2663.994489,10,1,A,16721.00759,3,16
2227,7690,2465.380502,2593.788022,10,1,A,13210.90768,0,15
2228,8274,2789.31144,2561.461359,10,1,A,14490.96891,2,15
2229,7534,2642.697312,2761.691511,10,1,A,12885.30515,1,17
2230,8104,2576.148881,2579.461302,10,1,A,14108.39149,1,15
2231,8241,2718.097264,2463.921287,10,1,A,14416.06428,2,14
2232,8114,2574.906727,2791.80462,10,1,A,14130.66968,1,17
2233,9067,2506.519962,2236.044669,10,1,A,16383.61713,0,12
2234,8365,2993.233187,2855.539112,10,1,A,14699.12048,3,18
2235,8235,3033.458895,2822.888585,10,1,A,14402.47836,4,18
2236,8809,2645.35162,2418.270793,10,1,A,15748.32262,1,14
2237,8798,2145.280825,2184.532233,10,1,A,15721.65503,0,11
2238,8312,2054.289676,2039.674084,10,1,A,14577.60442,0,10
2239,8549,2275.986239,2397.169901,10,1,A,15127.15691,0,13
2240,8671,3030.70891,2663.081083,10,1,A,15416.24513,4,16
2241,8831,2730.974143,2331.4599,10,1,A,15801.76049,2,13
2242,8436,1926.028363,1990.979702,10,1,A,14863.15167,0,9
2243,7403,2308.274703,2419.826321,10,1,A,12617.20146,0,14
2244,8820,2961.987356,2715.73226,10,1,A,15775.02444,3,17
2245,8164,2960.380647,2951.269385,10,1,A,14242.48509,3,19
2246,7964,2486.991776,2175.156593,10,1,A,13799.46765,0,11
2247,7263,2176.195197,2311.206839,10,1,A,12336.04592,0,12
2248,8367,3124.90614,3341.049859,10,1,A,14703.72155,4,20
2249,9254,2958.486886,2895.810188,10,1,A,16855.85521,3,18
2250,8811,3285.299686,2901.973519,10,1,A,15753.17495,5,19
2251,8918,2924.434545,2724.950871,10,1,A,16014.42458,3,17
2252,9052,2898.380205,2699.190647,10,1,A,16346.16574,3,16
2253,8705,3171.617361,2929.638821,10,1,A,15497.56108,4,19
2254,8216,3003.875246,2561.469618,10,1,A,14359.52349,3,15
2255,8278,2734.395702,2627.1139,10,1,A,14500.0692,2,16
2256,7509,3087.384844,3278.779585,10,1,A,12833.76542,4,20
2257,8492,2274.191367,2251.618741,10,1,A,14993.53454,0,12
2258,8049,2640.77855,2618.211322,10,1,A,13986.36716,1,16
2259,9073,2125.392162,2150.581785,10,1,A,16398.61552,0,11
2260,8749,2820.528443,2503.259574,10,1,A,15603.27901,2,14
2261,7691,2575.316039,2981.6511,10,1,A,13213.01709,1,19
2262,9407,2548.160797,2475.636265,10,1,A,17249.59123,1,14
2263,7536,2895.084451,3209.552729,10,1,A,12889.43596,3,20
2264,8712,3022.322053,2806.207807,10,1,A,15514.3432,3,18
2265,7899,2468.657945,2437.121897,10,1,A,13657.92385,0,14
2266,8990,2825.514334,2580.833031,10,1,A,16192.04202,2,15
2267,7592,2501.401372,2779.125151,10,1,A,13005.55837,0,17
2268,8468,3149.084783,2911.133392,10,1,A,14937.54752,4,19
2269,8786,2763.203065,2358.839351,10,1,A,15692.60217,2,13
2270,8564,2646.615039,2994.063716,10,1,A,15162.47348,1,19
2271,8013,2559.077466,2368.402988,10,1,A,13906.96016,1,13
2272,7299,3568.858186,2592.007968,10,1,A,12407.81339,7,15
2273,9421,2286.618932,2474.956753,10,1,A,17285.95013,0,14
2274,7764,3775.07761,3561.568789,10,1,A,13367.76803,8,20
2275,8600,2364.991626,2498.866599,10,1,A,15247.49299,0,14
2276,8159,2532.302312,2583.923431,10,1,A,14231.27172,1,15
2277,8237,2752.185716,3097.834284,10,1,A,14407.00587,2,20
2278,7081,3629.744936,3334.059924,10,1,A,11978.8346,7,20
2279,8360,2379.708212,2246.912614,10,1,A,14687.62275,0,12
2280,7709,2844.587953,2507.116768,10,1,A,13251.0348,2,14
2281,7819,2922.59576,2981.284089,10,1,A,13485.35718,3,19
2282,8922,3524.057809,3351.192339,10,1,A,16024.25373,6,20
2283,8716,3423.104279,3051.163005,10,1,A,15523.9392,6,20
2284,7645,3378.470428,3222.034391,10,1,A,13116.27722,6,20
2285,7894,2448.441414,2453.482175,10,1,A,13647.08538,0,14
2286,7338,2947.602147,3144.241821,10,1,A,12485.97528,3,20
2287,7401,2383.55821,2693.462288,10,1,A,12613.14591,0,16
2288,8696,3063.038337,2954.74059,10,1,A,15476.00444,4,19
2289,7931,2350.767809,2181.398969,10,1,A,13727.45755,0,11
2290,8611,2580.281346,2316.969236,10,1,A,15273.54432,1,12
2291,9059,3011.714408,2997.764322,10,1,A,16363.63513,3,19
2292,7336,2369.887413,2523.09422,10,1,A,12481.95651,0,15
2293,7752,2599.478853,2600.154314,10,1,A,13342.22596,1,15
2294,8811,2396.56978,2512.535833,10,1,A,15753.17495,0,15
2295,7115,2756.975152,2608.287186,10,1,A,12044.85449,2,15
2296,8052,2753.832252,2877.07999,10,1,A,13993.00097,2,18
2297,9431,3126.732499,2866.386124,10,1,A,17311.95472,4,18
