0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
1,1,NaN,NaN,13,NaN,34,NaN,63,NaN,106,6,55,NaN,51,2,43
1,1,NaN,NaN,2,NaN,39,NaN,60,NaN,24,49,2,NaN,10,47,1
0,0,NaN,NaN,0,NaN,4,NaN,83,NaN,25,105,0,NaN,8,0,82
0,1,NaN,NaN,19,NaN,8,NaN,159,NaN,17,20,157,NaN,110,6,7
0,0,NaN,NaN,0,NaN,12,NaN,147,NaN,18,76,59,NaN,28,62,8
0,0,NaN,NaN,0,NaN,32,NaN,84,NaN,43,120,61,NaN,39,8,31
0,0,NaN,NaN,1,NaN,23,NaN,44,NaN,61,24,76,NaN,0,24,7
1,0,NaN,NaN,0,NaN,24,NaN,44,NaN,33,111,145,NaN,24,6,6
0,0,NaN,NaN,15,NaN,1,NaN,80,NaN,91,47,58,NaN,51,0,0
0,0,NaN,NaN,2,NaN,31,NaN,150,NaN,61,27,91,NaN,146,6,1
0,0,NaN,NaN,1,NaN,22,NaN,99,NaN,162,118,130,NaN,2,22,2
0,0,NaN,NaN,17,NaN,19,NaN,13,NaN,32,13,11,NaN,0,38,59
0,1,NaN,NaN,0,NaN,20,NaN,49,NaN,72,70,51,NaN,0,12,31
1,0,NaN,NaN,7,NaN,52,NaN,94,NaN,65,77,7,NaN,2,57,0
1,0,NaN,NaN,0,NaN,20,NaN,39,NaN,82,120,78,NaN,8,1,0
0,0,NaN,NaN,0,NaN,63,NaN,57,NaN,25,36,53,NaN,6,0,1
0,0,NaN,NaN,2,NaN,15,NaN,106,NaN,106,29,0,NaN,49,1,27
0,0,NaN,NaN,0,NaN,1,NaN,86,NaN,22,6,98,NaN,4,25,10
1,0,NaN,NaN,0,NaN,7,NaN,82,NaN,30,26,44,NaN,51,17,23
2,0,NaN,NaN,9,NaN,42,NaN,29,NaN,0,37,58,NaN,17,7,9
0,0,NaN,NaN,1,NaN,3,NaN,48,NaN,NaN,72,57,NaN,72,37,0
13,0,NaN,NaN,0,NaN,32,NaN,57,NaN,NaN,65,13,NaN,19,6,8
0,2,NaN,NaN,3,NaN,7,NaN,61,NaN,NaN,75,76,NaN,11,4,18
0,55,NaN,NaN,10,NaN,37,NaN,25,NaN,NaN,66,70,NaN,98,19,46
1,0,NaN,NaN,0,NaN,29,NaN,55,NaN,NaN,78,44,NaN,0,0,5
0,0,NaN,NaN,0,NaN,14,NaN,75,NaN,NaN,74,0,NaN,0,0,4
0,0,NaN,NaN,1,NaN,42,NaN,42,NaN,NaN,88,41,NaN,109,50,11
0,5,NaN,NaN,0,NaN,58,NaN,44,NaN,NaN,NaN,131,NaN,6,2,0
4,0,NaN,NaN,3,NaN,0,NaN,56,NaN,NaN,NaN,7,NaN,65,0,14
0,0,NaN,NaN,13,NaN,4,NaN,69,NaN,NaN,NaN,85,NaN,38,84,14
0,0,NaN,NaN,0,NaN,2,NaN,87,NaN,NaN,NaN,33,NaN,23,1,24
