0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,0,0,0,0,33,5,44,10,9,0,14,1,1,0,0,NaN
0,1,0,2,0,38,35,11,29,2,31,1,44,6,1,3,NaN
0,0,0,0,0,1,5,24,4,9,15,3,7,3,73,2,NaN
0,0,0,0,0,8,2,44,16,0,2,0,0,7,13,4,NaN
0,0,0,0,0,0,0,14,55,4,11,14,1,1,11,1,NaN
0,0,0,1,0,47,11,24,7,2,16,8,0,27,6,10,NaN
0,0,0,0,0,0,0,9,84,4,0,2,1,16,12,2,NaN
1,0,0,0,0,26,3,11,41,10,17,0,3,16,0,4,NaN
0,0,0,0,1,3,25,39,10,19,8,0,8,15,3,58,NaN
0,1,1,0,0,10,26,7,13,15,11,1,18,13,7,0,NaN
2,0,0,1,0,2,4,37,0,2,31,20,2,4,0,3,NaN
0,0,0,2,0,53,44,4,27,0,2,0,1,0,1,33,NaN
0,0,0,0,1,31,50,11,56,10,1,2,4,2,5,2,NaN
0,0,0,0,0,35,0,12,24,0,12,21,12,0,14,1,NaN
0,2,0,1,0,6,17,29,65,7,26,8,19,23,0,2,NaN
0,0,0,0,0,0,23,1,46,14,0,1,0,4,0,4,NaN
1,0,0,2,0,26,36,1,2,37,6,3,7,11,69,0,NaN
0,0,0,0,0,3,4,54,72,0,6,0,1,6,2,37,NaN
0,0,1,0,0,9,1,100,25,8,22,5,16,4,0,10,NaN
0,0,1,1,0,59,0,16,17,53,17,5,2,10,1,5,NaN
0,0,0,1,0,0,10,30,1,1,10,5,3,10,1,6,NaN
1,0,0,0,0,1,1,65,75,7,0,2,0,8,28,22,NaN
0,2,1,4,2,18,0,25,10,18,28,9,14,2,1,0,NaN
0,0,0,0,0,7,37,48,19,3,11,2,9,5,5,0,NaN
0,0,0,0,0,73,0,20,9,33,44,1,24,14,5,73,NaN
0,0,0,0,9,52,53,3,42,18,8,6,4,1,2,0,NaN
1,0,9,0,0,4,0,14,15,10,1,8,1,0,10,2,NaN
3,1,0,1,0,59,26,10,21,15,16,2,3,22,6,6,NaN
1,0,0,0,0,52,13,3,19,3,3,0,2,14,27,0,NaN
0,0,0,0,0,48,20,10,8,40,3,57,15,4,0,0,NaN
1,0,0,1,0,18,18,17,33,5,5,1,3,4,24,0,NaN
0,0,0,0,0,1,37,20,10,3,22,8,0,1,1,1,NaN
0,0,0,1,0,0,2,27,49,20,5,15,1,37,23,2,NaN
0,0,0,3,0,51,22,19,2,14,22,3,2,4,0,3,NaN
0,1,0,0,0,4,0,49,15,34,17,7,6,5,0,0,NaN
0,0,1,0,0,23,4,98,0,78,13,5,3,1,9,14,NaN
0,0,0,3,0,46,45,0,18,9,13,15,2,2,0,5,NaN
0,0,0,0,0,1,37,17,33,49,11,8,3,13,1,53,NaN
1,0,1,0,0,14,83,0,44,6,14,3,2,3,1,7,NaN
0,0,0,0,0,2,29,18,11,57,23,5,17,2,15,1,NaN
0,0,0,0,0,42,26,55,54,3,0,0,3,1,3,2,NaN
2,0,0,0,0,54,3,26,9,30,3,12,14,1,2,27,NaN
4,0,0,2,0,1,0,30,0,0,17,4,0,0,0,5,NaN
1,0,4,0,0,27,22,3,10,5,13,12,0,6,1,1,NaN
0,0,0,1,0,2,33,46,12,31,2,34,8,3,0,10,NaN
3,0,0,0,0,10,53,37,4,16,0,15,11,2,3,1,NaN
2,1,0,0,0,3,17,12,12,16,17,13,9,1,1,12,NaN
0,0,0,0,0,4,71,1,14,5,1,21,6,3,3,18,NaN
0,1,0,1,0,7,8,39,4,0,18,1,7,3,2,17,NaN
0,1,1,14,0,0,0,6,34,20,10,0,3,9,0,13,NaN
0,0,0,0,0,12,0,56,13,45,0,37,6,0,3,12,NaN
0,0,0,0,0,21,1,28,5,21,1,16,3,0,0,18,NaN
1,0,2,0,0,3,48,29,53,53,32,7,2,1,4,49,NaN
0,0,1,0,0,0,63,0,1,38,8,0,0,3,3,11,NaN
1,0,0,0,0,10,7,49,29,8,2,0,1,0,0,18,NaN
1,4,0,0,0,8,21,4,50,15,9,5,2,1,1,3,NaN
1,2,0,1,0,4,31,0,35,8,2,29,1,0,0,6,NaN
49,0,1,0,0,4,8,94,24,0,4,1,0,2,15,1,NaN
0,0,0,0,1,11,2,51,12,8,15,0,2,9,2,3,NaN
1,0,0,3,0,46,14,59,23,11,18,1,2,12,5,0,NaN
1,0,0,0,0,51,1,34,1,9,8,2,0,9,3,2,NaN
0,0,0,0,0,17,52,23,30,5,26,7,22,7,0,11,NaN
0,0,1,1,0,8,2,41,2,26,0,11,0,0,1,0,NaN
0,0,1,2,0,15,43,26,15,3,19,3,0,5,17,23,NaN
0,0,0,2,0,0,50,37,15,18,20,5,0,3,1,6,NaN
0,6,0,1,0,1,6,0,3,4,17,10,2,3,1,1,NaN
0,0,2,0,0,23,42,8,4,2,11,7,13,12,2,2,NaN
0,0,1,2,0,8,48,30,0,55,7,0,6,3,0,4,NaN
0,2,0,1,0,8,52,52,12,20,7,25,22,1,1,1,NaN
0,0,0,2,0,17,0,2,0,15,3,4,0,8,10,7,NaN
0,0,0,0,0,0,3,20,22,19,13,9,1,0,0,5,NaN
1,1,0,0,0,26,33,3,0,1,14,1,19,6,6,25,NaN
0,0,1,0,0,3,35,12,36,12,6,34,16,6,0,3,NaN
0,0,1,0,0,1,16,45,10,17,21,30,2,0,0,0,NaN
16,0,0,0,0,22,31,18,0,33,3,0,16,14,1,16,NaN
0,1,0,0,0,22,0,22,67,35,7,5,53,0,0,13,NaN
0,0,1,0,0,19,5,6,39,11,3,5,2,3,7,10,NaN
0,0,1,0,0,13,7,45,15,5,4,21,1,3,15,11,NaN
0,0,0,1,0,52,19,1,15,1,1,1,9,9,2,0,NaN
0,1,0,1,0,0,1,2,1,25,15,0,2,3,5,1,NaN
0,0,0,0,0,6,65,35,2,11,29,4,6,0,1,18,NaN
0,1,0,1,0,62,18,16,69,52,10,1,8,4,15,51,NaN
0,0,0,0,0,9,25,4,0,18,4,3,0,0,2,10,NaN
0,0,0,0,0,33,51,14,126,5,11,3,14,0,0,3,NaN
0,0,0,0,0,21,0,10,27,1,0,0,2,0,0,15,NaN
1,0,0,2,0,0,13,26,37,5,6,11,5,6,0,3,NaN
0,0,0,0,0,1,22,38,58,0,12,1,13,3,0,1,NaN
1,0,0,1,0,2,0,16,45,10,2,2,0,5,8,24,NaN
0,0,0,0,0,14,4,27,10,3,5,6,0,17,0,0,NaN
0,0,0,0,0,28,93,3,27,1,10,4,20,17,27,2,NaN
0,0,0,0,0,12,4,64,3,12,7,0,0,29,17,8,NaN
0,0,1,0,0,14,14,22,41,5,29,0,7,2,13,17,NaN
0,0,0,1,0,80,29,93,55,35,14,2,7,0,2,0,NaN
0,0,0,0,0,7,39,94,5,1,10,1,34,5,1,1,NaN
2,1,0,1,0,2,43,39,14,0,19,0,3,2,8,0,NaN
0,1,0,0,0,29,17,69,3,4,46,9,11,0,4,12,NaN
0,0,0,0,0,13,10,1,79,0,10,4,1,8,0,26,NaN
0,0,0,0,0,25,10,16,10,24,10,14,3,25,0,2,NaN
0,0,0,0,0,41,36,12,32,5,17,19,1,2,0,38,NaN
2,0,0,0,0,1,36,3,76,14,0,25,11,3,8,22,NaN
1,3,0,0,0,1,28,1,17,9,72,1,52,0,1,2,NaN
0,0,0,0,0,13,0,16,12,18,5,0,31,0,2,0,NaN
0,0,0,0,0,105,8,34,1,3,34,32,6,0,1,0,NaN
0,0,0,0,10,32,12,5,6,5,11,2,14,10,0,0,NaN
0,0,0,0,19,0,12,21,79,5,15,5,1,0,2,0,NaN
0,0,0,0,0,1,30,0,1,21,26,3,1,2,9,2,NaN
0,2,0,0,2,16,0,1,56,29,28,3,3,2,20,0,NaN
0,1,0,3,30,17,15,39,9,13,3,1,12,0,0,1,NaN
0,0,0,0,2,7,0,0,0,25,17,6,4,2,0,7,NaN
0,0,0,0,10,0,43,27,20,8,2,5,0,22,1,0,NaN
0,0,0,0,10,0,37,27,33,3,0,28,0,0,2,2,NaN
1,0,1,0,5,39,7,11,2,0,1,23,1,0,0,7,NaN
