0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,0,0,NaN,2,NaN,17,18,58,NaN,0,24,0,NaN,0,0,0
0,0,0,NaN,0,NaN,6,28,48,NaN,62,8,2,NaN,0,0,0
0,0,0,NaN,0,NaN,8,40,3,NaN,59,19,2,NaN,0,0,0
0,0,0,NaN,1,NaN,12,16,1,NaN,80,1,1,NaN,0,0,1
0,0,0,NaN,1,NaN,0,25,61,NaN,72,23,4,NaN,0,0,0
0,0,0,NaN,11,NaN,10,11,37,NaN,26,10,1,NaN,0,0,0
0,0,0,NaN,0,NaN,24,22,0,NaN,27,3,1,NaN,0,1,0
0,0,0,NaN,0,NaN,4,35,84,NaN,42,9,19,NaN,0,0,0
0,0,0,NaN,0,NaN,0,35,70,NaN,22,2,1,NaN,0,0,0
0,0,0,NaN,0,NaN,21,30,0,NaN,39,4,5,NaN,0,0,0
0,0,0,NaN,0,NaN,24,13,53,NaN,39,18,3,NaN,0,0,0
0,0,NaN,NaN,1,NaN,7,NaN,68,NaN,0,1,6,NaN,0,0,0
0,0,NaN,NaN,1,NaN,43,NaN,29,NaN,33,2,17,NaN,0,0,0
0,0,NaN,NaN,1,NaN,0,NaN,116,NaN,4,0,3,NaN,0,0,0
0,0,NaN,NaN,0,NaN,26,NaN,40,NaN,90,14,1,NaN,0,0,0
0,0,NaN,NaN,9,NaN,24,NaN,24,NaN,0,10,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,58,NaN,39,31,16,NaN,0,0,0
0,0,NaN,NaN,2,NaN,10,NaN,90,NaN,0,30,0,NaN,0,0,2
0,0,NaN,NaN,0,NaN,4,NaN,7,NaN,64,15,0,NaN,0,1,0
0,0,NaN,NaN,0,NaN,0,NaN,7,NaN,52,7,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,36,NaN,1,NaN,81,11,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,91,NaN,10,52,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,157,NaN,22,5,9,NaN,2,0,0
0,0,NaN,NaN,0,NaN,18,NaN,98,NaN,47,2,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,5,NaN,29,NaN,4,24,9,NaN,0,0,0
0,0,NaN,NaN,1,NaN,5,NaN,1,NaN,17,13,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,7,NaN,24,NaN,0,23,8,NaN,1,0,0
0,0,NaN,NaN,1,NaN,44,NaN,61,NaN,63,4,2,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,33,NaN,66,11,8,NaN,2,0,0
0,0,NaN,NaN,6,NaN,8,NaN,76,NaN,22,5,5,NaN,0,0,0
0,0,NaN,NaN,0,NaN,13,NaN,13,NaN,17,11,12,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,0,NaN,58,1,6,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,42,NaN,30,28,0,NaN,0,0,0
0,0,NaN,NaN,4,NaN,0,NaN,29,NaN,59,20,3,NaN,0,0,0
0,0,NaN,NaN,0,NaN,34,NaN,41,NaN,14,26,4,NaN,0,0,0
0,0,NaN,NaN,2,NaN,6,NaN,59,NaN,21,14,0,NaN,2,0,0
0,0,NaN,NaN,0,NaN,20,NaN,56,NaN,26,0,12,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,64,NaN,8,4,6,NaN,1,0,0
0,0,NaN,NaN,1,NaN,0,NaN,9,NaN,0,1,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,15,NaN,55,NaN,NaN,13,3,NaN,1,0,0
0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,6,1,NaN,0,0,0
0,0,NaN,NaN,0,NaN,1,NaN,9,NaN,NaN,17,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,1,NaN,NaN,10,0,NaN,0,0,0
0,0,NaN,NaN,1,NaN,20,NaN,47,NaN,NaN,20,4,NaN,0,0,0
0,0,NaN,NaN,0,NaN,8,NaN,65,NaN,NaN,2,5,NaN,0,0,0
0,0,NaN,NaN,12,NaN,20,NaN,31,NaN,NaN,16,4,NaN,0,0,0
0,0,NaN,NaN,0,NaN,23,NaN,38,NaN,NaN,NaN,1,NaN,0,0,0
0,0,NaN,NaN,2,NaN,0,NaN,2,NaN,NaN,NaN,3,NaN,2,0,0
0,0,NaN,NaN,7,NaN,0,NaN,62,NaN,NaN,NaN,19,NaN,2,0,0
0,0,NaN,NaN,0,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,0,0,0
0,0,NaN,NaN,3,NaN,1,NaN,42,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,0,NaN,15,NaN,NaN,NaN,6,NaN,0,0,0
0,0,NaN,NaN,13,NaN,3,NaN,38,NaN,NaN,NaN,3,NaN,0,0,0
0,0,NaN,NaN,4,NaN,18,NaN,55,NaN,NaN,NaN,0,NaN,2,0,0
0,0,NaN,NaN,0,NaN,12,NaN,40,NaN,NaN,NaN,3,NaN,0,3,0
0,0,NaN,NaN,0,NaN,16,NaN,84,NaN,NaN,NaN,2,NaN,0,0,0
0,0,NaN,NaN,0,NaN,5,NaN,51,NaN,NaN,NaN,0,NaN,0,0,0
0,0,NaN,NaN,0,NaN,15,NaN,21,NaN,NaN,NaN,11,NaN,1,0,0
0,0,NaN,NaN,3,NaN,22,NaN,48,NaN,NaN,NaN,0,NaN,0,0,2
0,0,NaN,NaN,3,NaN,9,NaN,14,NaN,NaN,NaN,1,NaN,1,0,0
0,0,NaN,NaN,0,NaN,0,NaN,2,NaN,NaN,NaN,8,NaN,1,0,0
