CellNum,number_spots_type_0,number_spots_type_1,number_spots_type_0_only,number_spots_type_1_only,number_spots_type_0_1_both,nDoubleSpots0,nDoubleSpots1,total_spots,numberTS0,numberTS1,tsIntensities0_1,tsIntensities0_2,tsIntensities0_3,tsIntensities0_4,tsIntensities1_1,tsIntensities1_2,tsIntensities1_3,tsIntensities1_4,time,sumNascent
98,89,433,78,422,11,0,10,511,0,0,0,0,0,0,0,0,0,0,18,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
100,255,184,160,87,95,0,4,342,0,0,0,0,0,0,0,0,0,0,18,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
102,142,55,110,24,31,0,0,165,0,0,0,0,0,0,0,0,0,0,18,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
104,222,130,174,83,47,0,0,304,0,0,0,0,0,0,0,0,0,0,18,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
0,0,40,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,300,0
1,30,77,19,66,11,0,10,96,0,0,0,0,0,0,0,0,0,0,300,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
5,24,55,20,51,4,0,6,75,0,0,0,0,0,0,0,0,0,0,300,0
6,0,25,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,300,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
8,0,10,0,10,0,0,4,10,0,0,0,0,0,0,0,0,0,0,300,0
9,0,6,0,6,0,0,2,6,0,1,0,0,0,0,39,0,0,0,300,39
10,10,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,300,0
11,0,40,0,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,300,0
12,0,75,0,75,0,0,4,75,0,0,0,0,0,0,0,0,0,0,300,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
15,0,77,0,77,0,0,2,77,0,0,0,0,0,0,0,0,0,0,300,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
17,0,37,0,37,0,0,0,37,0,0,0,0,0,0,0,0,0,0,300,0
18,0,20,0,20,0,0,2,20,0,0,0,0,0,0,0,0,0,0,300,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
22,0,17,0,17,0,0,4,17,0,0,0,0,0,0,0,0,0,0,300,0
23,97,9,97,9,0,36,0,106,0,0,0,0,0,0,0,0,0,0,300,0
24,53,0,53,0,0,28,0,53,0,0,0,0,0,0,0,0,0,0,300,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
28,0,18,0,18,0,0,4,18,0,0,0,0,0,0,0,0,0,0,300,0
29,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,300,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
34,0,24,0,24,0,0,2,24,0,0,0,0,0,0,0,0,0,0,300,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
36,0,12,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,300,0
37,48,21,48,21,0,0,0,69,0,0,0,0,0,0,0,0,0,0,300,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
39,0,123,0,123,0,0,6,123,0,0,0,0,0,0,0,0,0,0,300,0
40,0,37,0,37,0,0,4,37,0,0,0,0,0,0,0,0,0,0,300,0
41,0,44,0,44,0,0,4,44,0,0,0,0,0,0,0,0,0,0,300,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
43,0,111,0,111,0,0,14,111,0,1,0,0,0,0,9,0,0,0,300,9
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
47,7,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,300,0
48,83,0,83,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,300,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0
