unique_cell_id,num_spots,num_nuc_spots,num_cyto_spots,num_ts,num_foci,num_spots_ts,largest_ts,second_largest_ts,num_spots_foci,nuc_area,cyto_area,time,dex_conc,replica,fov,nas_location,h5_idx
200097,26,14,12,0,0,0,0,0,0,6155.0,4169.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200099,75,33,42,1,0,7,7,0,0,7194.0,8288.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200100,150,76,74,1,1,4,4,0,4,8926.0,16391.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200101,425,162,263,4,0,30,11,9,0,10040.0,12504.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200103,156,42,114,1,0,4,4,0,0,9409.0,14644.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200104,328,139,189,2,0,10,6,4,0,9653.0,16972.0,40,100,E,7,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200105,73,24,49,0,0,0,0,0,0,9767.0,14998.0,40,100,E,8,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200106,176,67,109,1,0,4,4,0,0,8107.0,14296.0,40,100,E,8,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200107,125,61,64,0,1,0,0,0,4,6042.0,4110.0,40,100,E,8,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200109,73,28,45,0,0,0,0,0,0,8711.0,14179.0,40,100,E,8,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
200110,78,29,49,0,0,0,0,0,0,9798.0,16597.0,40,100,E,8,smFISH_images/Eric_smFISH_images/20220421/DUSP1_100nM_Dex_R3_20220419_40min/DUSP1_100nM_Dex_R3_20220419_40min.h5,0
