Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,normgrnuc,normgrcyt
149,GR_timesweep,A,0,0,NaN,3275,7704.03738367041,2401.32702,2109.55025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,11
150,GR_timesweep,A,0,0,NaN,9559,18788.6282882645,3264.84078,2964.0393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,20
151,GR_timesweep,A,0,0,NaN,10680,21482.1230900285,2479.67884,2533.55191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
152,GR_timesweep,A,0,0,NaN,5871,11457.2786354552,2969.65355,3305.31373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,23
153,GR_timesweep,A,0,0,NaN,3382,7835.76027208072,1886.63069,2165.52265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,12
154,GR_timesweep,A,0,0,NaN,13099,28033.1453249355,2306.08512,2177.13189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,12
155,GR_timesweep,A,0,0,NaN,8195,15803.6748904781,2689.80683,2437.71573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,15
156,GR_timesweep,A,0,0,NaN,9997,19815.2297771878,3235.37891,3237.37158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,23
157,GR_timesweep,A,0,0,NaN,10020,19870.0527848841,2475.13842,2242.24686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,13
158,GR_timesweep,A,0,0,NaN,11258,22955.6368716125,2387.67898,2502.32531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,15
159,GR_timesweep,A,0,0,NaN,10136,20147.9424339428,2244.73658,2232.93182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,13
160,GR_timesweep,A,0,0,NaN,7055,13555.1791886192,1823.96598,2031.88335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,11
161,GR_timesweep,A,0,0,NaN,3953,8572.09070799169,1636.7913,1982.4451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10
162,GR_timesweep,A,0,0,NaN,6225,12059.1749897801,1737.41574,1622.01804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,7
163,GR_timesweep,A,0,0,NaN,10316,20583.7469230202,2441.27714,2563.88889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,16
