Cell_id,Condition,Replica,Dex_Conc,Time_index,Time_TPL,Nuc_Area,Cyto_Area,Nuc_GR_avg_int,Cyto_GR_avg_int,Nuc_DUSP1_avg_int,Cyto_DUSP1_avg_int,RNA_DUSP1_nuc,RNA_DUSP1_cyto,DUSP1_ts_size_0,DUSP1_ts_size_1,DUSP1_ts_size_2,DUSP1_ts_size_3,tryptCond1,tryptCond2,tryptCond3,tryptCond4,tryptCond5
95,DUSP1_TPL,O,0.0,0,,7449,11276.0,,,1153.79246,1105.94191,24.0,35.0,,,,,1,2,3,4,5
96,DUSP1_TPL,O,0.0,0,,6376,5992.0,,,992.29282,987.95561,8.0,15.0,,,,,1,2,3,4,5
97,DUSP1_TPL,O,0.0,0,,8631,19215.0,,,1312.32464,1234.82456,54.0,82.0,,,,,1,2,3,4,5
98,DUSP1_TPL,O,0.0,0,,7983,11639.0,,,1273.95591,1241.7962,37.0,69.0,,,,,1,2,3,4,5
99,DUSP1_TPL,O,0.0,0,,7930,12149.0,,,1112.58991,1042.46835,11.0,18.0,4.0,,,,1,2,3,4,5
100,DUSP1_TPL,O,0.0,0,,6436,7923.0,,,1253.94717,1235.80727,26.0,40.0,,,,,1,2,3,4,5
101,DUSP1_TPL,O,0.0,0,,7974,13084.0,,,1177.67118,1149.57123,14.0,58.0,,,,,1,2,3,4,5
102,DUSP1_TPL,O,0.0,0,,7210,8909.0,,,1241.29431,1200.18195,38.0,65.0,,,,,1,2,3,4,5
103,DUSP1_TPL,O,0.0,0,,7420,14536.0,,,973.34811,946.60581,6.0,18.0,,,,,1,2,3,4,5
104,DUSP1_TPL,O,0.0,0,,6884,14103.0,,,1002.12711,989.0802,2.0,13.0,,,,,1,2,3,4,5
105,DUSP1_TPL,O,0.0,0,,6328,9945.0,,,961.83107,970.78763,9.0,10.0,,,,,1,2,3,4,5
106,DUSP1_TPL,O,0.0,0,,7499,12457.0,,,1195.40632,1154.98146,33.0,32.0,,,,,1,2,3,4,5
107,DUSP1_TPL,O,0.0,0,,6588,7402.0,,,1146.1228,1093.84193,16.0,18.0,,,,,1,2,3,4,5
