nucGRint,cytoGRint,time,dex_conc,unique_cell_id,normGRcyt,normGRnuc
6525.971753685835,2671.3990126766803,30,10,4164,16,25
4337.073496881407,2175.948662029186,30,10,4165,12,14
5408.56311068918,2526.358700447006,30,10,4167,15,19
3384.355249048546,1835.315749024276,30,10,4168,8,9
4308.393004821233,2141.8051453237845,30,10,4170,11,13
6191.039092685923,2643.7910842881424,30,10,4171,16,23
5305.24700759916,2257.6263937848357,30,10,4172,12,19
5319.284296247516,2434.688113256442,30,10,4173,14,19
5096.996478329203,2298.937515859278,30,10,4174,13,18
4905.813433742252,2475.667076933759,30,10,4175,14,17
5264.186552481342,2180.3089930934675,30,10,4176,12,19
5982.38213247485,2420.3015347753485,30,10,4179,14,22
5069.849234291942,2429.16414909277,30,10,4180,14,17
5620.21126433119,2415.11526530042,30,10,4183,14,20
5064.956313910959,2239.4806989182407,30,10,4186,12,17
5989.406827512297,2297.014539782095,30,10,4187,13,22
4444.750558335934,2290.6728583031218,30,10,4189,13,14
4992.066694096172,2179.874939841037,30,10,4192,12,17
5162.136503455766,2114.462515805681,30,10,4194,11,18
4793.972520705782,2098.830328098456,30,10,4196,11,16
5232.437028971447,2583.5351213376107,30,10,4198,16,18
4763.320068118472,2526.19517803645,30,10,4199,15,16
5641.813098380883,2272.001443270268,30,10,4200,12,21
3997.121283232523,2102.039062181699,30,10,4208,11,12
4870.90270422518,2444.1650824485487,30,10,4213,14,16
5471.399961197386,2326.082864472441,30,10,4214,13,20
4067.329240621282,2022.8697877926995,30,10,4218,10,12
4794.142043952099,2448.6501910901625,30,10,4219,14,16
5328.587865677883,2289.371595174763,30,10,4220,13,19
5647.559665759865,2370.070632806629,30,10,4222,13,21
4094.212542627827,2037.6996721916885,30,10,4224,10,12
4296.431058817006,1975.796769281336,30,10,4225,10,13
3938.823969349355,1912.0652398362715,30,10,4226,9,11
4664.621178009422,2190.2974085296178,30,10,4228,12,15
4615.737968429705,2063.3434799673823,30,10,4230,10,15
5909.334751616517,2282.8871956038,30,10,4238,13,22
5136.336653688354,2444.9602337185747,30,10,4239,14,18
5005.9636873035415,2182.1204249905904,30,10,4240,12,17
4514.358536778313,2150.744108711576,30,10,4243,11,15
5364.765977168891,2295.408255652563,30,10,4244,13,19
4589.303068495604,2417.119620126986,30,10,4249,14,15
4605.535660224016,2326.5859874725725,30,10,4250,13,15
5054.965574760803,2299.288129803489,30,10,4252,13,17
4024.568991456321,1927.9141329640092,30,10,4256,9,12
4281.177116604422,2115.095022869134,30,10,4257,11,13
4872.331430013925,2161.7840233733,30,10,4260,11,16
4345.107812081335,1976.455260851276,30,10,4261,10,14
4361.517193430616,1962.842117407857,30,10,4262,9,14
3421.533168953637,2016.2162462263364,30,10,4271,10,9
5193.026381055977,2304.2688262871065,30,10,4272,13,18
4223.33645112599,2236.00358321264,30,10,4273,12,13
5392.915191370228,2190.2647792234875,30,10,4274,12,19
4282.427825568987,1968.5020163477031,30,10,4276,10,13
4623.620256242903,2180.963512886323,30,10,4279,12,15
4974.972510279022,1977.484395233222,30,10,4280,10,17
4728.536252162533,2010.706200043476,30,10,4281,10,16
4834.30192803453,2109.0490177424376,30,10,4283,11,16
4272.23163414163,1876.7226894607495,30,10,4285,9,13
4276.047819706121,1955.6523229192444,30,10,4286,9,13
5637.639250582372,2219.237008372502,30,10,4287,12,21
4542.2804977847645,2232.079405255783,30,10,4289,12,15
5305.522824262493,2219.3234988205136,30,10,4290,12,19
5037.566911131569,2386.8659010162805,30,10,4294,14,17
4806.122248054053,2346.130755040658,30,10,4295,13,16
5917.048958832725,2554.295935885495,30,10,4297,15,22
5192.521234556582,2565.3477234178813,30,10,4298,15,18
5389.697391109617,2528.6598230869376,30,10,4299,15,19
5171.000627063577,2202.6167316880824,30,10,4301,12,18
5263.9645904931,2192.0030558047006,30,10,4305,12,19
5830.997348668603,2357.792050797312,30,10,4306,13,22
4909.574283324366,2305.5766273290446,30,10,4307,13,17
4508.645025400707,2033.573448805588,30,10,4310,10,15
5039.947605288216,2228.557151594156,30,10,4311,12,17
4332.349748318895,2226.269267123414,30,10,4312,12,14
5580.121798166813,1515.329479130609,120,10,6051,5,20
5519.57087194952,1562.7326383540849,120,10,6052,6,20
4657.617954548019,1408.8058313643378,120,10,6053,4,15
4639.158274595734,1398.1163509289115,120,10,6056,4,15
5117.531627631792,1442.846558788537,120,10,6057,4,18
5390.1675230018045,1443.7361559360145,120,10,6058,4,19
4278.522658384671,1499.4123378407123,120,10,6059,5,13
5540.43746133542,1522.825772429827,120,10,6061,5,20
5782.451251646055,1675.1435645220024,120,10,6062,7,21
5666.32161638753,1510.353532177346,120,10,6064,5,21
4764.257389214745,1540.6717639768065,120,10,6065,5,16
4871.243775618786,1477.2628832579735,120,10,6066,5,16
5241.2296955847605,1468.765705352602,120,10,6069,5,18
4503.101519914633,1417.075088188636,120,10,6071,4,14
5247.473307215754,1509.491999445809,120,10,6072,5,18
5357.329139274513,1445.4050370281443,120,10,6073,4,19
4968.376026401484,1399.3930970177591,120,10,6074,4,17
5421.810447017338,1449.7284205947046,120,10,6075,5,19
5440.59155907193,1480.9769164189534,120,10,6077,5,19
5527.696904633288,1449.9123027875423,120,10,6078,5,20
5230.514232120787,1534.1043416441023,120,10,6079,5,18
6505.142886660016,1551.156171397629,120,10,6080,6,25
5345.800513017192,1565.7204906902955,120,10,6081,6,19
4408.375311027484,1474.923799551097,120,10,6084,5,14
5374.126366077482,1516.6812425212524,120,10,6086,5,19
6957.083472209681,1806.473376215549,120,10,6087,8,28
6872.361431974312,1649.5778682114446,120,10,6089,6,27
5617.777875985033,1597.3373846452898,120,10,6091,6,20
5865.05183702235,1634.6454598163407,120,10,6092,6,22
6834.759812728627,1574.916574118957,120,10,6097,6,27
4183.726411619356,1580.5890591964956,120,10,6099,6,13
5991.747874537067,1610.4816035389342,120,10,6103,6,22
7008.312137298708,1739.854407565187,120,10,6104,7,28
5422.538260803301,1618.9752895930678,120,10,6105,6,19
5440.68779078231,1601.9352325229968,120,10,6106,6,19
6324.643326562975,1686.4571260818425,120,10,6111,7,24
5768.649726043175,1642.3067540842603,120,10,6113,6,21
6564.466627658047,1652.8435194588678,120,10,6115,6,25
4985.7880306607785,1454.3764767281748,120,10,6116,5,17
4970.430380747111,1489.566036470418,120,10,6117,5,17
6571.9600086961655,1571.1793568359433,120,10,6119,6,26
5650.111874465461,1500.7258417408418,120,10,6120,5,21
5091.402501863808,1509.1507010599537,120,10,6123,5,18
6026.607097604376,1563.8089501538109,120,10,6124,6,23
4980.822028713151,1417.061358043225,120,10,6135,4,17
4919.994299478654,1516.093879571815,120,10,6136,5,17
4243.640288288276,1479.7146296544372,120,10,6138,5,13
5486.474225658864,1504.703513741713,120,10,6142,5,20
5844.178611607816,1536.9369768467725,120,10,6143,5,22
4918.315665167908,1534.79035780756,120,10,6145,5,17
6332.912857678391,1614.43091095664,120,10,6146,6,24
5038.905205368372,1546.5599619222935,120,10,6147,5,17
4489.214311145885,1466.7246193570295,120,10,6148,5,14
6482.047450962687,1576.406410519321,120,10,6152,6,25
4842.545757512762,1509.6524491878552,120,10,6153,5,16
6142.271347285277,1598.7014517433906,120,10,6154,6,23
5863.763372487237,1659.4990845248042,120,10,6156,7,22
4962.112234707452,1536.3881085578876,120,10,6157,5,17
5375.93478439371,1600.4659700019697,120,10,6158,6,19
4653.209542631026,1538.354481998737,120,10,6159,5,15
